position,latency_ms
start,386.052557
start,20.710089
start,19.284859
start,18.628143
start,18.313022
start,18.02761
start,17.817407
start,17.972084
start,18.006669
start,18.095011
end,86.699342
end,48.163144
end,47.539346
end,43.106813
end,18.426317
end,17.408701
end,17.99962
end,17.795818
end,18.776256
end,17.945779
