trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,active,True,60.073851
1,idle,idle,True,58.970459
2,active,active,True,76.684188
3,idle,idle,True,57.572907
4,active,active,True,70.931203
5,idle,idle,True,58.540046
6,active,active,True,69.423794
7,idle,idle,True,58.804582
8,active,active,True,72.982388
9,idle,active,False,68.125856
10,active,active,True,93.787715
11,idle,active,False,78.529381
12,active,active,True,88.217716
13,idle,active,False,65.283499
14,active,active,True,61.646298
15,idle,active,False,63.726325
16,active,active,True,64.94014
17,idle,active,False,79.103098
18,active,active,True,64.429636
19,idle,active,False,77.042736
20,active,active,True,66.282025
21,idle,active,False,83.979226
22,active,idle,False,49.806731
23,idle,idle,True,58.560518
24,active,idle,False,53.677906
25,idle,active,False,73.238772
26,active,active,True,64.339676
27,idle,active,False,70.200914
28,active,active,True,63.89678
29,idle,active,False,66.286469
30,active,active,True,64.213188
31,idle,active,False,60.376034
32,active,active,True,63.463052
33,idle,active,False,73.252
34,active,active,True,65.1387
35,idle,idle,True,51.773823
36,active,active,True,69.482973
37,idle,idle,True,49.124593
38,active,idle,False,49.395602
39,idle,idle,True,57.924329
40,active,active,True,62.400784
41,idle,active,False,79.576432
42,active,idle,False,59.646272
43,idle,active,False,69.835611
44,active,active,True,70.700148
45,idle,active,False,73.751313
46,active,active,True,93.857697
47,idle,active,False,86.189564
48,active,active,True,66.456097
49,idle,active,False,68.792924
50,active,active,True,63.38934
51,idle,active,False,65.749276
52,active,active,True,94.963608
53,idle,active,False,74.461324
54,active,active,True,61.957793
55,idle,idle,True,53.845288
56,active,active,True,71.484618
57,idle,active,False,70.833547
58,active,active,True,72.674073
59,idle,active,False,66.833513
60,active,active,True,76.991467
61,idle,active,False,86.230131
62,active,active,True,85.877082
63,idle,active,False,71.227603
64,active,active,True,80.843461
65,idle,idle,True,58.101137
66,active,active,True,82.959163
67,idle,active,False,72.009975
68,active,active,True,63.907559
69,idle,active,False,67.215255
70,active,active,True,77.22353
71,idle,idle,True,57.973157
72,active,idle,False,58.204732
73,idle,active,False,72.217909
74,active,active,True,75.135097
75,idle,active,False,68.650719
76,active,active,True,81.804362
77,idle,active,False,71.847189
78,active,idle,False,57.216347
79,idle,active,False,69.445469
80,active,active,True,67.387426
81,idle,active,False,94.950467
82,active,active,True,74.008788
83,idle,active,False,85.393309
84,active,active,True,75.375237
85,idle,active,False,84.256876
86,active,active,True,79.581454
87,idle,active,False,75.245675
88,active,idle,False,58.192416
89,idle,active,False,64.144859
90,active,active,True,83.082046
91,idle,active,False,73.493691
92,active,active,True,73.951698
93,idle,idle,True,55.632925
94,active,idle,False,58.464097
95,idle,active,False,61.102272
96,active,active,True,61.049734
97,idle,active,False,64.305433
98,active,idle,False,59.592509
99,idle,idle,True,58.601776
100,active,active,True,60.587191
101,idle,active,False,66.131545
102,active,active,True,62.948964
103,idle,idle,True,49.102295
104,active,active,True,69.126322
105,idle,active,False,71.883961
106,active,active,True,73.380264
107,idle,idle,True,58.49419
108,active,active,True,72.890012
109,idle,idle,True,57.276936
110,active,active,True,63.514524
111,idle,idle,True,59.78388
112,active,active,True,64.274425
113,idle,idle,True,56.136716
114,active,idle,False,50.444857
115,idle,idle,True,52.77895
116,active,idle,False,53.159344
117,idle,active,False,64.1103
118,active,idle,False,59.677466
119,idle,idle,True,54.4377
120,active,idle,False,54.879666
121,idle,idle,True,50.569076
122,active,active,True,61.287658
123,idle,active,False,68.431059
124,active,idle,False,59.175136
125,idle,idle,True,49.107877
126,active,active,True,63.308395
127,idle,active,False,67.713814
128,active,idle,False,52.445516
129,idle,idle,True,56.552454
130,active,idle,False,53.329427
131,idle,idle,True,52.566058
132,active,active,True,63.153818
133,idle,active,False,60.450899
134,active,idle,False,57.957889
135,idle,active,False,61.47614
136,active,idle,False,59.856472
137,idle,active,False,67.709819
138,active,idle,False,59.946822
139,idle,active,False,68.943094
140,active,idle,False,55.592078
141,idle,active,False,62.930374
142,active,idle,False,57.49721
143,idle,active,False,62.840086
144,active,active,True,71.337544
145,idle,active,False,64.130082
146,active,idle,False,55.92427
147,idle,idle,True,54.300411
148,active,idle,False,52.482096
149,idle,active,False,80.477073
