trial,state,probe_idx,latency_ms
6,hot,8,41.400185
6,hot,9,45.12018
6,ram_evicted,0,1466.180421
6,ram_evicted,1,667.817275
6,ram_evicted,2,1128.543702
6,ram_evicted,3,978.310172
6,ram_evicted,4,465.645816
6,ram_evicted,5,886.829481
6,ram_evicted,6,755.874044
6,ram_evicted,7,901.771714
6,ram_evicted,8,1320.81111
6,ram_evicted,9,1315.714061
6,disk_evicted,0,1115.129248
6,disk_evicted,1,1307.546095
6,disk_evicted,2,42.06392
6,disk_evicted,3,612.921176
6,disk_evicted,4,851.015848
6,disk_evicted,5,318.114035
6,disk_evicted,6,1024.988729
6,disk_evicted,7,638.32511
6,disk_evicted,8,1598.414379
6,disk_evicted,9,1169.700779
7,hot,0,40.303176
7,hot,1,39.793763
7,hot,2,38.173265
7,hot,3,40.038311
7,hot,4,41.036181
7,hot,5,40.549462
7,hot,6,49.455785
7,hot,7,41.626661
7,hot,8,39.604779
7,hot,9,39.364696
7,ram_evicted,0,40.875126
7,ram_evicted,1,254.780469
7,ram_evicted,2,960.773209
7,ram_evicted,3,665.488265
7,ram_evicted,4,38.522101
7,ram_evicted,5,1615.684967
7,ram_evicted,6,38.071132
7,ram_evicted,7,93.425591
7,ram_evicted,8,785.923374
7,ram_evicted,9,926.703556
7,disk_evicted,0,377.676917
7,disk_evicted,1,784.266849
7,disk_evicted,2,95.927044
7,disk_evicted,3,41.76749
7,disk_evicted,4,98.8063
7,disk_evicted,5,1187.533548
7,disk_evicted,6,37.962706
7,disk_evicted,7,41.636181
7,disk_evicted,8,1494.343331
7,disk_evicted,9,226.854082
8,hot,0,36.881546
8,hot,1,41.961301
8,hot,2,41.521212
8,hot,3,1393.821412
8,hot,4,39.245547
8,hot,5,43.38122
8,hot,6,46.725256
8,hot,7,41.511282
8,hot,8,39.810944
8,hot,9,41.53327
8,ram_evicted,0,858.287368
8,ram_evicted,1,1251.296487
8,ram_evicted,2,39.341678
8,ram_evicted,3,38.055998
8,ram_evicted,4,1394.999792
8,ram_evicted,5,966.061168
8,ram_evicted,6,696.163151
8,ram_evicted,7,1132.788067
8,ram_evicted,8,39.243539
8,ram_evicted,9,1047.224065
8,disk_evicted,0,840.43491
8,disk_evicted,1,1187.53709
8,disk_evicted,2,763.909987
8,disk_evicted,3,1411.91835
8,disk_evicted,4,1277.098771
8,disk_evicted,5,996.882431
8,disk_evicted,6,708.411717
8,disk_evicted,7,72.183004
8,disk_evicted,8,73.968614
8,disk_evicted,9,69.316781
9,hot,0,16.838009
9,hot,1,16.341993
9,hot,2,16.789647
9,hot,3,16.276547
9,hot,4,16.648694
9,hot,5,21.955941
9,hot,6,16.479089
9,hot,7,16.654202
9,hot,8,17.923685
9,hot,9,17.815701
9,ram_evicted,0,25.10655
9,ram_evicted,1,23.394971
9,ram_evicted,2,24.269103
9,ram_evicted,3,23.356376
9,ram_evicted,4,25.091932
9,ram_evicted,5,23.954875
9,ram_evicted,6,23.897816
9,ram_evicted,7,23.066885
9,ram_evicted,8,22.995089
9,ram_evicted,9,25.824407
9,disk_evicted,0,67.47283
9,disk_evicted,1,66.883959
9,disk_evicted,2,75.670941
9,disk_evicted,3,75.617396
9,disk_evicted,4,74.419617
9,disk_evicted,5,68.939509
9,disk_evicted,6,80.213525
9,disk_evicted,7,76.727383
9,disk_evicted,8,73.851185
9,disk_evicted,9,83.183507
10,hot,0,26.790081
10,hot,1,26.847485
10,hot,2,26.968321
10,hot,3,27.087427
10,hot,4,26.763254
10,hot,5,23.60201
10,hot,6,22.563475
10,hot,7,22.514792
10,hot,8,22.866523
10,hot,9,23.078509
10,ram_evicted,0,26.495729
10,ram_evicted,1,24.064187
10,ram_evicted,2,27.749771
10,ram_evicted,3,23.594715
10,ram_evicted,4,24.473307
10,ram_evicted,5,23.260888
10,ram_evicted,6,23.86939
10,ram_evicted,7,24.718325
10,ram_evicted,8,23.678652
10,ram_evicted,9,23.529238
10,disk_evicted,0,65.249764
10,disk_evicted,1,65.837638
10,disk_evicted,2,69.414098
