t_true_ms,t_release_ms,t_response_sent_ms,overshoot_ms,send_overhead_ms,spin_iters
419.5060469999703,419.50718999999026,419.66341199997714,269.50718999999026,0.15622199998688302,0
27.376329999981408,150.27833999999984,151.06123999999,0.27833999999984926,0.7828999999901498,0
184.2712939999842,184.27820400000883,185.06071100000554,34.278204000008834,0.7825069999967127,0
412.6880540000002,412.69547600001033,414.0328990000057,262.69547600001033,1.3374229999953968,0
604.4053439999857,604.4125579999786,605.1699279999525,454.4125579999786,0.7573699999738892,0
683.2053280000423,683.212855000022,683.8736200000426,533.212855000022,0.6607650000205467,0
265.722396000001,265.72974700002305,266.39534999998205,115.72974700002305,0.6656029999589919,0
632.2838439999714,632.2910320000119,632.976828999972,482.2910320000119,0.6857969999600755,0
296.1702910000099,296.1763409999776,296.65892700000995,146.17634099997758,0.48258600003237007,0
535.5805280000254,535.5915460000347,536.2069779999956,385.59154600003467,0.615431999960947,0
607.2420810000381,607.2490950000429,607.9240450000043,457.24909500004287,0.6749499999614272,0
602.1997370000349,602.2069450000345,602.8884350000112,452.20694500003447,0.6814899999767476,0
335.7598530000132,335.7669520000286,336.369947000037,185.7669520000286,0.6029950000083772,0
474.14638999998715,474.1541610000013,474.87157299997307,324.1541610000013,0.7174119999717732,0
172.7095790000135,172.7161069999852,173.3560640000178,22.716106999985193,0.6399570000326094,0
265.3501629999937,265.358324000033,266.2514649999821,115.35832400003301,0.8931409999490825,0
326.7786569999771,326.78630899999916,327.6432479999585,176.78630899999916,0.8569389999593113,0
519.6859989999894,519.6929779999664,520.3209899999592,369.6929779999664,0.6280119999928502,0
668.3860310000114,668.3925049999857,668.9927429999898,518.3925049999857,0.600238000004083,0
207.66831600002433,207.67487800003437,208.25379500001873,57.674878000034376,0.578916999984358,0
463.512660000049,463.51942200004714,464.08358100001124,313.51942200004714,0.5641589999640928,0
613.7009010000156,613.7074999999754,614.9781440000197,463.7074999999754,1.2706440000442853,0
342.49701000004507,342.5077910000027,343.6050840000462,192.50779100000273,1.0972930000434644,0
498.8734550000231,498.8797899999895,499.72996600001807,348.8797899999895,0.8501760000285685,0
662.7964420000012,662.8026399999953,663.70723,512.8026399999953,0.9045900000046458,0
348.20849099997986,348.2147230000123,348.9080029999627,198.21472300001233,0.6932799999503914,0
496.52506799998264,496.53320800001666,497.16526600002453,346.53320800001666,0.6320580000078735,0
437.03438699998287,437.04284400001825,437.66216699998495,287.04284400001825,0.6193229999666983,0
186.9150229999832,186.92153000000644,187.9544399999986,36.92153000000645,1.032909999992171,0
815.1048930000115,815.1137130000166,816.0155820000341,665.1137130000166,0.9018690000175411,0
800.3984660000469,800.4054550000319,801.1007130000394,650.4054550000319,0.6952580000074704,0
756.2970810000138,756.3057739999977,757.1778220000169,606.3057739999977,0.8720480000192765,0
467.5964069999736,467.60864599997376,468.88933700000734,317.60864599997376,1.2806910000335847,0
317.60748100003866,317.615442000033,318.2226530000207,167.615442000033,0.6072109999877284,0
504.2600490000382,504.266862999998,504.9528460000374,354.266862999998,0.685983000039414,0
