trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,idle,False,36.394131
1,idle,idle,True,20.572891
2,active,idle,False,36.168221
3,idle,idle,True,21.22622
4,active,idle,False,32.973674
5,idle,idle,True,20.572225
6,active,idle,False,37.953742
7,idle,idle,True,21.096235
8,active,idle,False,33.772663
9,idle,idle,True,20.476396
10,active,idle,False,31.81643
11,idle,idle,True,20.152699
12,active,idle,False,32.474035
13,idle,idle,True,20.256332
14,active,idle,False,34.025171
15,idle,idle,True,20.040418
16,active,idle,False,34.634727
17,idle,idle,True,21.723807
18,active,idle,False,33.988333
19,idle,idle,True,20.003439
20,active,idle,False,33.154438
21,idle,idle,True,20.600362
22,active,idle,False,35.096123
23,idle,idle,True,20.078342
24,active,idle,False,32.178615
25,idle,idle,True,19.62579
26,active,idle,False,31.303992
27,idle,idle,True,19.79548
28,active,idle,False,32.052077
29,idle,idle,True,19.899802
30,active,idle,False,37.647611
31,idle,idle,True,20.060224
32,active,idle,False,33.38815
33,idle,idle,True,21.052168
34,active,idle,False,33.763341
35,idle,idle,True,19.254719
36,active,idle,False,36.529435
37,idle,idle,True,19.87671
38,active,idle,False,34.980844
39,idle,idle,True,20.963886
40,active,idle,False,33.409623
41,idle,idle,True,20.625965
42,active,idle,False,35.037499
43,idle,idle,True,21.480161
44,active,idle,False,34.069883
45,idle,idle,True,20.55137
46,active,idle,False,32.972789
47,idle,idle,True,19.678036
48,active,idle,False,33.149885
49,idle,idle,True,19.773003
50,active,idle,False,33.010522
51,idle,idle,True,20.23404
52,active,idle,False,35.266183
53,idle,idle,True,20.121024
54,active,idle,False,32.248659
55,idle,idle,True,20.717782
56,active,idle,False,32.77038
57,idle,idle,True,19.353089
58,active,idle,False,33.831012
59,idle,idle,True,19.772205
60,active,idle,False,32.406448
61,idle,idle,True,20.320728
62,active,idle,False,35.086692
63,idle,idle,True,19.647431
64,active,idle,False,33.335525
65,idle,idle,True,21.842637
66,active,idle,False,34.236013
67,idle,idle,True,21.513909
68,active,idle,False,40.68196
69,idle,idle,True,20.874733
70,active,idle,False,37.872584
71,idle,idle,True,19.692011
72,active,idle,False,38.402105
73,idle,idle,True,20.783427
74,active,idle,False,35.748329
75,idle,idle,True,19.743002
76,active,idle,False,39.673418
77,idle,idle,True,21.652641
78,active,idle,False,36.880697
79,idle,idle,True,21.883781
80,active,idle,False,35.683938
81,idle,idle,True,21.464969
82,active,idle,False,36.701618
83,idle,idle,True,21.839248
84,active,idle,False,39.022756
85,idle,idle,True,21.658643
86,active,idle,False,41.54362
87,idle,idle,True,20.235464
88,active,idle,False,38.196314
89,idle,idle,True,21.212611
90,active,idle,False,38.831593
91,idle,idle,True,21.425393
92,active,idle,False,35.710484
93,idle,idle,True,19.98465
94,active,idle,False,38.795866
95,idle,idle,True,21.508261
96,active,idle,False,38.941513
97,idle,idle,True,21.420308
98,active,idle,False,39.87735
99,idle,idle,True,22.19221
100,active,idle,False,38.217692
101,idle,idle,True,21.858334
102,active,idle,False,40.162049
103,idle,idle,True,21.531576
104,active,idle,False,35.590886
105,idle,idle,True,21.772657
106,active,idle,False,37.171996
107,idle,idle,True,20.136249
108,active,idle,False,37.147711
109,idle,idle,True,22.174739
110,active,idle,False,38.255205
111,idle,idle,True,21.538175
112,active,idle,False,39.589052
113,idle,idle,True,21.001118
114,active,idle,False,39.571737
115,idle,idle,True,22.416865
116,active,idle,False,34.651371
117,idle,idle,True,21.810697
118,active,idle,False,38.578972
119,idle,idle,True,21.383794
120,active,idle,False,40.911831
121,idle,idle,True,22.397901
122,active,idle,False,36.672547
123,idle,idle,True,20.570646
124,active,idle,False,41.433969
125,idle,idle,True,19.845213
126,active,idle,False,37.99928
127,idle,idle,True,20.171129
128,active,idle,False,37.466227
129,idle,idle,True,20.063109
130,active,idle,False,37.324788
131,idle,idle,True,19.273765
132,active,idle,False,37.969183
133,idle,idle,True,20.322
134,active,idle,False,32.552271
135,idle,idle,True,21.956166
136,active,idle,False,34.101652
137,idle,idle,True,22.509391
138,active,idle,False,33.567109
139,idle,idle,True,21.002613
140,active,idle,False,35.662249
141,idle,idle,True,20.962378
142,active,idle,False,34.148149
143,idle,idle,True,22.679393
144,active,idle,False,36.971453
145,idle,idle,True,20.36837
146,active,idle,False,35.567538
147,idle,idle,True,20.690287
148,active,idle,False,38.446201
149,idle,idle,True,22.187399
