t_true_ms,t_release_ms,t_response_sent_ms,overshoot_ms,send_overhead_ms,spin_iters
413.5355009966588,450.00042999890866,450.20169599956716,300.00042999890866,0.20126600065850653,6171
191.42549699972733,300.00029200164136,300.2260329994897,150.00029200164136,0.2257409978483338,8727
190.4594419975183,300.0004719979188,300.19882499982486,150.0004719979188,0.19835300190607086,5729
27.37069399881875,150.00025300105335,150.1288290019147,0.00025300105335746004,0.1285760008613579,8324
53.52165799922659,150.000188001286,150.43717500157072,0.0001880012860111524,0.4369870002847165,9415
49.136714998894604,150.00136600065161,150.14578100090148,0.0013660006516202916,0.14441500024986453,10035
35.3945989991189,150.00035599950934,150.1303979966906,0.0003559995093438406,0.13004199718125165,7450
24.596060000476427,150.00050999879022,150.216845999239,0.0005099987902268399,0.2163360004487913,2736
34.69678300098167,150.00040900122258,150.14325399897643,0.0004090012225843598,0.14284499775385484,6161
33.55423500033794,150.00040100130718,150.35037000052398,0.0004010013071875651,0.3499689992167987,4401
44.817897000029916,150.000353998621,150.19051999843214,0.00035399862099994017,0.19016599981114268,2813
38.82478900050046,150.0006249989383,150.21223200164968,0.000624998938297816,0.2116070027113892,2962
41.873047997796675,150.00026099733077,150.1185439992696,0.0002609973307754476,0.11828300193883479,8860
35.23263800161658,150.00038799917093,150.18741500171018,0.0003879991709310193,0.18702700253925286,4709
38.680088000546675,150.00040599989006,150.20033499968122,0.0004059998900685091,0.19992899979115464,5252
42.19241399914608,150.00043499821913,150.13993399770698,0.00043499821913983716,0.1394989994878415,5701
41.644922999694245,150.0007349968655,150.23815899985493,0.0007349968655090411,0.23742400298942812,2944
54.33449700285564,150.00033000251278,150.1524960003735,0.00033000251278836323,0.15216599786072038,4325
72.66226000137976,150.0002710017725,150.1249300017662,0.00027100177249494983,0.12465899999369867,10549
65.84915599887609,150.000228000863,150.1277739989746,0.00022800086299512579,0.12754599811160006,8026
54.51303899826598,150.00026000052458,150.12639799897443,0.0002600005245823045,0.12613799844984896,9831
62.30252000023029,150.0002550019417,150.12619500339497,0.0002550019417013605,0.125940001453273,10113
58.10164300055476,150.0001370004611,150.12417700199876,0.00013700046111453368,0.12404000153765082,11114
63.38141099695349,150.0003219989594,150.1207629989949,0.00032199895941276147,0.12044100003549829,9640
61.391850002110004,150.0002430002496,150.14562200303772,0.00024300024961676492,0.14537900278810412,9975
64.75283600229886,150.02963100050692,150.23412700247718,0.029631000506930016,0.20449600197025575,9587
60.19409600048675,150.00025700283004,150.15624800071237,0.0002570028300452609,0.15599099788232706,10788
