correct,gpu_temp_c,ground_truth,latency_a_ms,latency_b_ms,predicted,trial,wall_timestamp_a_ns,wall_timestamp_b_ns
True,66,B,308.978445,22.780722,B,85,1788418955581212407,1788418955892813985
True,64,both,24.43566,24.068846,both,86,1788418957352906254,1788418957381126052
True,66,neither,134.75165,178.002349,neither,87,1788418958624233886,1788418958762618849
True,63,A,26.887959,168.684298,A,88,1788418960040356026,1788418960074947058
True,65,B,96.060677,28.499186,B,89,1788418961477126382,1788418961576610050
True,66,both,26.056165,25.030382,both,90,1788418963080079564,1788418963108430457
True,64,neither,141.604628,655.205286,neither,91,1788418964182498111,1788418964326483331
True,66,A,31.580859,168.87885,A,92,1788418966162939598,1788418966198698293
True,65,B,99.012194,24.66237,B,93,1788418967639688275,1788418967740881519
True,63,both,39.073997,31.503447,both,94,1788418969227899000,1788418969281454389
True,64,neither,92.534805,180.814118,neither,95,1788418970351377933,1788418970446039507
True,68,A,26.687097,199.912157,A,96,1788418971717951194,1788418971747822296
True,64,B,109.721207,24.216681,B,97,1788418973265681929,1788418973378056250
True,64,both,32.983109,24.987783,both,98,1788418974703730443,1788418974739024254
True,65,neither,94.701329,215.165989,neither,99,1788418975879139607,1788418975975980993
True,63,A,29.79787,176.242871,A,100,1788418977356130168,1788418977389977710
True,64,B,99.677526,24.35865,B,101,1788418978816883228,1788418978918729156
True,64,both,32.016046,23.520275,both,102,1788418980244226560,1788418980278694559
True,66,neither,84.733031,169.996801,neither,103,1788418981437770929,1788418981524629390
True,67,A,27.619965,166.597586,A,104,1788418982985853070,1788418983015873044
True,65,B,85.392839,28.361022,B,105,1788418984462496929,1788418984552627956
True,64,both,30.910329,24.789255,both,106,1788418985953331187,1788418985987753210
True,66,neither,92.323107,174.063043,neither,107,1788418987058220744,1788418987152872306
True,63,A,27.37475,161.458159,A,108,1788418988457967732,1788418988490047713
True,65,B,100.695479,22.390136,B,109,1788418989912933716,1788418990015807403
True,65,both,25.608508,26.18915,both,110,1788418991333306586,1788418991361311415
True,66,neither,82.498838,169.143669,neither,111,1788418992398804303,1788418992484921591
True,67,A,27.913618,185.168398,A,112,1788418993791337411,1788418993823938850
True,64,B,87.864241,26.842541,B,113,1788418995322137634,1788418995412257075
True,64,both,30.194757,22.595659,both,114,1788418996731558489,1788418996765740807
True,65,neither,119.278927,172.173864,neither,115,1788418997770768577,1788418997892967511
True,69,A,23.292494,173.381152,A,116,1788418999295970851,1788418999323780656
True,68,B,88.263776,26.735727,B,117,1788419000693766818,1788419000786843877
True,65,both,31.46897,27.206327,both,118,1788419002123384691,1788419002157411603
True,65,neither,80.888934,171.801512,neither,119,1788419003212115418,1788419003297139947
