trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,idle,False,40.18463
1,idle,idle,True,19.92951
2,active,idle,False,36.688253
3,idle,idle,True,19.455819
4,active,idle,False,34.388909
5,idle,idle,True,20.367937
6,active,idle,False,37.452189
7,idle,idle,True,21.072072
8,active,idle,False,37.459042
9,idle,idle,True,22.637863
10,active,idle,False,39.112867
11,idle,idle,True,20.35528
12,active,idle,False,35.832386
13,idle,idle,True,20.243549
14,active,idle,False,36.875438
15,idle,idle,True,22.156344
16,active,idle,False,35.361011
17,idle,idle,True,23.565533
18,active,idle,False,37.982149
19,idle,idle,True,22.617288
20,active,idle,False,36.906559
21,idle,idle,True,23.247116
22,active,idle,False,38.392503
23,idle,idle,True,20.136418
24,active,idle,False,37.999758
25,idle,idle,True,20.156053
26,active,idle,False,36.765114
27,idle,idle,True,22.063335
28,active,idle,False,35.223778
29,idle,idle,True,28.929808
30,active,idle,False,32.818671
31,idle,idle,True,23.109868
32,active,idle,False,34.305944
33,idle,idle,True,21.38065
34,active,idle,False,38.1288
35,idle,idle,True,21.880189
36,active,idle,False,37.901911
37,idle,idle,True,20.766899
38,active,idle,False,37.323281
39,idle,idle,True,26.711262
40,active,idle,False,35.128719
41,idle,idle,True,23.920918
42,active,idle,False,40.429136
43,idle,idle,True,21.555995
44,active,idle,False,35.150419
45,idle,idle,True,22.899293
46,active,idle,False,40.148564
47,idle,idle,True,21.208265
48,active,idle,False,38.457997
49,idle,idle,True,24.059153
50,active,idle,False,41.022348
51,idle,idle,True,21.931688
52,active,idle,False,38.137193
53,idle,idle,True,22.730214
54,active,idle,False,35.942081
55,idle,idle,True,20.124748
56,active,idle,False,40.256952
57,idle,idle,True,21.989113
58,active,idle,False,36.5318
59,idle,idle,True,21.347877
