trial,ground_truth,target_latency_ms,canary_latency_ms,diff_ms,rolling_baseline_ms,rolling_mad_ms,predicted_adaptive,correct_adaptive
0,active,62.426475,62.158913,0.2675620000000052,,,idle,False
1,idle,70.06808,69.192658,0.8754220000000004,,,idle,True
2,active,1295.509088,1294.522735,0.9863530000000083,,,idle,False
3,idle,71.144876,70.053787,1.0910889999999966,0.8754220000000004,0.11093100000000788,active,False
4,active,60.063904,59.556168,0.5077360000000013,0.9308875000000043,0.10783349999999814,idle,False
5,idle,69.20914,68.732257,0.47688300000000083,0.8754220000000004,0.21566699999999628,idle,True
6,active,60.119786,59.158938,0.9608479999999986,0.6915790000000008,0.2547350000000037,idle,False
7,idle,70.294113,69.698995,0.5951179999999994,0.8754220000000004,0.21566699999999628,idle,True
8,active,70.699136,70.289919,0.40921699999999817,0.7352699999999999,0.23930850000000348,idle,False
9,idle,61.220105,60.662109,0.5579959999999957,0.5951179999999994,0.280304000000001,idle,True
10,active,72.56527,72.182709,0.3825609999999955,0.5765569999999975,0.2331025000000011,idle,False
11,idle,65.115365,64.634035,0.4813299999999998,0.5579959999999957,0.17543500000000023,idle,True
12,active,84.951198,85.593027,-0.6418290000000013,0.5328659999999985,0.13697700000000168,idle,False
13,idle,68.997454,68.493539,0.5039150000000063,0.5077360000000013,0.1251750000000058,idle,True
14,active,65.949287,65.267974,0.6813130000000029,0.5058255000000038,0.10993650000000699,active,True
15,idle,87.348856,87.950862,-0.6020060000000029,0.5077360000000013,0.1251750000000058,idle,True
16,active,72.971797,71.957744,1.0140529999999899,0.5077360000000013,0.1251750000000058,active,True
17,idle,89.251327,88.892038,0.35928900000000397,0.5077360000000013,0.1251750000000058,idle,True
18,active,64.904648,64.497551,0.40709699999999316,0.5039150000000063,0.12135400000001084,idle,False
19,idle,83.888669,83.386487,0.5021819999999906,0.4813299999999998,0.09876900000000433,idle,True
20,active,86.1309,85.323513,0.8073869999999914,0.4813299999999998,0.09876900000000433,active,True
21,idle,86.267008,85.823679,0.44332900000000564,0.5021819999999906,0.11962099999999509,idle,True
22,active,73.537941,73.24423,0.29371100000000183,0.4813299999999998,0.09876900000000433,idle,False
23,idle,62.339702,61.857347,0.4823550000000054,0.44332900000000564,0.08404000000000167,idle,True
24,active,81.413916,80.781518,0.6323979999999949,0.4813299999999998,0.09876900000000433,active,True
25,idle,65.462658,64.937675,0.524983000000006,0.4813299999999998,0.12204099999999585,idle,True
26,active,68.227047,67.83379,0.3932570000000055,0.4823550000000054,0.12306600000000145,idle,False
27,idle,71.90889,71.565391,0.3434989999999942,0.4823550000000054,0.12306600000000145,idle,True
28,active,67.575471,68.178261,-0.602790000000013,0.4823550000000054,0.12306600000000145,idle,False
29,idle,66.527516,65.833342,0.6941740000000038,0.44332900000000564,0.09983000000001141,active,False
30,active,66.478988,65.552918,0.9260699999999957,0.44332900000000564,0.09983000000001141,active,True
31,idle,73.640458,74.272569,-0.632111000000009,0.4823550000000054,0.1388560000000112,idle,True
32,active,79.473551,80.250507,-0.7769559999999984,0.44332900000000564,0.09983000000001141,idle,False
33,idle,68.803827,67.811828,0.9919989999999927,0.44332900000000564,0.1496180000000038,active,False
34,active,62.221546,61.346859,0.8746869999999944,0.4823550000000054,0.1886440000000036,active,True
35,idle,61.72473,61.152484,0.5722459999999998,0.4823550000000054,0.21181899999999843,idle,True
36,active,61.717469,61.186094,0.5313750000000041,0.4823550000000054,0.1886440000000036,idle,False
37,idle,63.122156,61.507597,1.6145589999999999,0.524983000000006,0.18148400000001175,active,False
38,active,78.261458,77.971338,0.2901200000000017,0.5313750000000041,0.18787600000000992,idle,False
39,idle,64.71611,64.433792,0.2823180000000036,0.5313750000000041,0.24125500000000244,idle,True
40,active,74.24445,72.881736,1.3627139999999969,0.524983000000006,0.24266500000000235,active,True
41,idle,59.968626,59.049412,0.9192140000000038,0.5313750000000041,0.3433119999999903,idle,True
42,active,50.624652,51.489649,-0.8649970000000025,0.5722459999999998,0.34696800000000394,idle,False
43,idle,68.606149,67.584601,1.0215479999999957,0.5722459999999998,0.3538239999999959,idle,True
44,active,77.558152,76.553177,1.0049750000000017,0.6941740000000038,0.32737399999999184,idle,False
45,idle,61.868877,61.662766,0.20611099999999993,0.8746869999999944,0.3433119999999903,idle,True
46,active,63.096479,62.328285,0.7681940000000012,0.5722459999999998,0.41975299999999294,idle,False
47,idle,71.52842,73.086757,-1.5583370000000087,0.7681940000000012,0.25335399999999453,idle,True
48,active,69.984608,69.297506,0.6871019999999959,0.7681940000000012,0.25335399999999453,idle,False
49,idle,61.460644,60.866422,0.594222000000002,0.6871019999999959,0.3344459999999998,idle,True
50,active,73.356499,72.822256,0.5342430000000036,0.594222000000002,0.3249920000000017,idle,False
51,idle,68.326566,67.834193,0.4923730000000006,0.594222000000002,0.3249920000000017,idle,True
52,active,60.230896,59.617428,0.6134680000000046,0.594222000000002,0.3249920000000017,idle,False
53,idle,64.813869,65.717612,-0.9037430000000057,0.594222000000002,0.3119039999999984,idle,True
54,active,58.593848,57.817184,0.7766640000000038,0.594222000000002,0.3249920000000017,idle,False
55,idle,69.04828,68.114947,0.9333330000000046,0.6134680000000046,0.3057459999999992,idle,True
56,active,57.886952,56.374372,1.5125799999999998,0.6134680000000046,0.3057459999999992,active,True
57,idle,72.177638,71.513333,0.6643049999999988,0.6134680000000046,0.31986500000000007,idle,True
58,active,78.95442,79.563849,-0.6094290000000058,0.6643049999999988,0.1719319999999982,idle,False
59,idle,60.342242,61.050508,-0.7082660000000018,0.6134680000000046,0.16319599999999923,idle,True
60,active,61.049478,60.675435,0.37404300000000035,0.594222000000002,0.18244200000000177,idle,False
61,idle,60.763771,61.369063,-0.6052919999999986,0.594222000000002,0.18244200000000177,idle,True
62,active,63.272156,62.424563,0.8475930000000034,0.5342430000000036,0.24242100000000022,idle,False
63,idle,67.07879,68.042894,-0.9641040000000061,0.594222000000002,0.22017900000000168,idle,True
64,active,82.082765,81.455958,0.6268069999999994,0.5342430000000036,0.3133499999999998,idle,False
65,idle,67.411295,67.034231,0.3770639999999901,0.5342430000000036,0.3133499999999998,idle,True
66,active,69.323728,91.75941,-22.435682,0.4923730000000006,0.35522000000000276,idle,False
67,idle,69.797492,68.937561,0.8599310000000031,0.3770639999999901,0.5562690000000146,idle,True
68,active,64.732809,64.406384,0.3264250000000004,0.3770639999999901,0.5562690000000146,idle,False
69,idle,65.75367,65.060346,0.693324000000004,0.3770639999999901,0.48286700000001304,idle,True
70,active,97.399956,96.899466,0.5004899999999992,0.3770639999999901,0.48286700000001304,idle,False
71,idle,61.782924,61.344893,0.4380310000000023,0.3770639999999901,0.4705290000000133,idle,True
72,active,58.84631,58.452005,0.3943050000000028,0.3770639999999901,0.316260000000014,idle,False
73,idle,60.254196,59.61831,0.6358859999999993,0.3770639999999901,0.316260000000014,idle,True
74,active,68.771822,68.295165,0.476657000000003,0.3943050000000028,0.2415809999999965,idle,False
75,idle,78.140189,58.145064,19.99512500000001,0.4380310000000023,0.18877599999999717,active,False
76,active,61.584854,59.670683,1.9141710000000032,0.476657000000003,0.1592289999999963,active,True
77,idle,62.218514,61.903581,0.31493299999999635,0.5004899999999992,0.1740649999999988,idle,True
78,active,75.073629,74.484,0.5896290000000022,0.476657000000003,0.1592289999999963,idle,False
79,idle,67.907805,68.203423,-0.2956180000000046,0.5004899999999992,0.13539600000000007,idle,True
80,active,64.931634,64.454301,0.47733300000000156,0.476657000000003,0.1592289999999963,idle,False
81,idle,59.884828,59.346519,0.5383089999999982,0.47733300000000156,0.15855299999999772,idle,True
82,active,68.559375,68.957018,-0.3976430000000022,0.5004899999999992,0.13539600000000007,idle,False
83,idle,60.00852,60.71095,-0.7024299999999997,0.47733300000000156,0.15090800000000115,idle,True
84,active,66.86673,65.709381,1.1573490000000106,0.47733300000000156,0.15855299999999772,active,True
85,idle,72.997679,72.281191,0.7164879999999982,0.47733300000000156,0.15855299999999772,active,False
86,active,64.060523,63.487885,0.5726380000000049,0.47733300000000156,0.1624000000000052,idle,False
87,idle,76.844861,76.180023,0.6648379999999889,0.5383089999999982,0.1781790000000001,idle,True
88,active,63.736487,62.171042,1.5654449999999969,0.5726380000000049,0.14384999999999337,active,True
89,idle,63.010369,61.970638,1.0397309999999962,0.5726380000000049,0.2577050000000085,active,False
90,active,65.70686,65.922502,-0.21564199999998834,0.5896290000000022,0.450101999999994,idle,False
91,idle,73.111879,72.438991,0.6728880000000004,0.5726380000000049,0.4670929999999913,idle,True
92,active,66.529545,67.258437,-0.7288920000000019,0.5726380000000049,0.2577050000000085,idle,False
